method,cluster,transactions,laundering,laundering_rate,enrichment_vs_sample,dominant_payment_format,dominant_payment_currency,mean_Amount Paid,mean_log_amount_paid,mean_sender_out_degree,mean_receiver_in_degree,mean_sender_unique_receivers,mean_receiver_unique_senders,mean_sent_received_ratio,mean_same_bank,mean_same_currency
MiniBatch K-Means (k=7),6,871,865,0.9931113662456946,2.238249642203504,ACH,US Dollar,1520294.70934558,9.626591330743898,5.066590126291619,14.83926521239954,2.148105625717566,11.571756601607348,38.742569397722214,0.02640642939150402,1.0
Gaussian Mixture (k=7),5,1178,1138,0.966044142614601,2.177246208281724,ACH,US Dollar,870238.8289591027,9.649173126045488,6.3174872665534805,12.49830220713073,3.2444821731748728,9.32258064516129,1453.993874785446,0.017826825127334467,1.0
MiniBatch K-Means (k=7),3,1526,932,0.6107470511140236,1.3764864798603191,ACH,US Dollar,114537.76875877654,8.503527386878899,17.134338138925294,1.9868938401048493,13.444954128440367,1.480340760157274,12593.534300119325,0.014416775884665793,1.0
Gaussian Mixture (k=7),0,1440,830,0.5763888888888888,1.29905091027471,ACH,US Dollar,83442.4773183375,8.158413323879357,16.761805555555554,1.6715277777777777,13.319444444444445,1.3402777777777777,13337.043130077522,0.0,1.0
Gaussian Mixture (k=7),3,657,338,0.5144596651445966,1.1594763694942454,Cheque,US Dollar,823588.9752054795,7.173263136037723,4707.983257229833,1.9238964992389649,3646.470319634703,1.3318112633181127,5883761.265608444,0.0,1.0
Gaussian Mixture (k=7),4,267,137,0.5131086142322098,1.1564314046252193,ACH,Rupee,244955855.48101124,14.301149616358854,208.68539325842696,1.8614232209737829,159.99250936329588,1.3895131086142323,351384.89603527094,0.0,1.0
MiniBatch K-Means (k=7),4,654,335,0.5122324159021406,1.1544566506696883,Cheque,US Dollar,297648.4832110092,7.144648676019035,4729.261467889908,1.8837920489296636,3662.9495412844035,1.290519877675841,5880525.700617761,0.0,1.0
DBSCAN (eps=3.5),1,402,200,0.4975124378109453,1.121281130969,Cheque,US Dollar,433099.534079602,7.374678550895661,5600.0,1.835820895522388,4322.0,1.2661691542288558,3162822.2971107936,0.0,1.0
DBSCAN (eps=3.5),0,9501,4232,0.44542679717924427,1.0038918124391352,ACH,US Dollar,1615363.727326359,8.185895002247673,109.59130617829702,3.0507315019471632,85.39932638669613,2.3244921587201346,92927.9625309755,0.07988632775497316,1.0
MiniBatch K-Means (k=7),1,4291,1794,0.41808436261943605,0.9422681149863332,ACH,US Dollar,8803.49412258215,8.065500785496805,21.212071778140295,1.8876718713586575,16.478676299230948,1.4134234444185505,10005.72513194054,0.0,1.0
MiniBatch K-Means (k=7),2,1035,390,0.37681159420289856,0.8492485783252165,ACH,Rupee,212646159.96227056,13.178054639546176,62.87536231884058,1.7371980676328502,48.47826086956522,1.3468599033816424,81780.88126787714,0.11400966183574879,0.9942028985507246
Gaussian Mixture (k=7),6,5568,1902,0.3415948275862069,0.7698779075641355,ACH,US Dollar,92320.00508552282,7.840541882357651,22.338362068965516,1.716235632183908,17.386494252873565,1.3326149425287357,18321.248290653257,0.0,1.0
Gaussian Mixture (k=7),1,888,90,0.10135135135135136,0.22842314931564425,Reinvestment,US Dollar,3340538.8922402216,6.975356325041475,9.010135135135135,1.768018018018018,7.120495495495495,1.3896396396396395,43657.94857622167,0.9279279279279279,0.9031531531531531
MiniBatch K-Means (k=7),5,926,79,0.08531317494600432,0.19227670711292388,Credit Card,US Dollar,60.42811040820734,3.1697284508429844,34.365010799136066,1.8898488120950323,26.57667386609071,1.323974082073434,137542.58810599675,0.0,1.0
MiniBatch K-Means (k=7),0,697,42,0.06025824964131994,0.13580854099914344,Reinvestment,US Dollar,25040.46856758393,6.211127546481187,2.022955523672884,1.6958393113342898,1.624103299856528,1.3586800573888091,1567.4819117799411,0.9784791965566715,0.8852223816355811
