component,explained_variance_ratio,cumulative_explained_variance
1,0.2107128020824189,0.2107128020824189
2,0.16094920066092291,0.3716620027433418
3,0.12996542539970532,0.5016274281430472
4,0.07688296814787549,0.5785103962909226
5,0.06622452135020625,0.6447349176411289
6,0.053922604327950485,0.6986575219690794
7,0.04157909334829163,0.740236615317371
8,0.03825257863477311,0.7784891939521441
9,0.037699874383545245,0.8161890683356894
10,0.027182224363465037,0.8433712926991545
11,0.02563780984296701,0.8690091025421215
12,0.023443837758454676,0.8924529403005762
13,0.01612353264506781,0.908576472945644
14,0.013178875808054389,0.9217553487536985
15,0.012594270163122865,0.9343496189168213
16,0.010382563075637351,0.9447321819924587
17,0.008451451791237644,0.9531836337836963
18,0.007059007875758479,0.9602426416594548
19,0.00526770199184387,0.9655103436512987
20,0.0031773164615585365,0.9686876601128572
