feature,importance
cat__Payment Format_ACH,0.2974203062534705
cat__Payment Format_Cheque,0.07790812653690225
num__log_amount_received,0.07252661114088006
num__log_amount_paid,0.0661095830113709
cat__Payment Format_Credit Card,0.049229797723846204
num__sender_out_degree,0.04610257716425598
num__receiver_in_degree,0.04592308164492146
num__sender_unique_receivers,0.03590022645315491
num__receiver_unique_senders,0.025034557177791555
num__sample_sender_out_degree,0.024988654114238392
num__sender_total_sent,0.020183097196516675
num__receiver_pagerank,0.017594970925119167
cat__Payment Format_Cash,0.016757792412757995
num__sample_receiver_in_degree,0.01598572068793317
num__receiver_total_received,0.015875067995517782
num__sent_received_ratio,0.015011376387081238
cat__Payment Format_Reinvestment,0.014961606839576924
num__sender_mean_sent,0.014089692826904783
num__hour,0.01387904872633868
num__same_bank,0.013242674831275308
