hour,transactions,laundering,laundering_rate
0,634726,176,0.00027728500171727644
1,193728,152,0.0007846052196894615
2,193143,165,0.0008542893089576117
3,193249,146,0.0007555019689623232
4,193166,154,0.0007972417506186389
5,193900,188,0.0009695719443011862
6,194456,207,0.001064508166371827
7,193336,195,0.001008606777837547
8,192921,258,0.0013373349713094998
9,192952,217,0.0011246320328371824
10,193229,234,0.0012109983491090882
11,193500,295,0.0015245478036175712
12,192972,336,0.0017411852496735279
13,192521,292,0.0015167176567751051
14,192787,279,0.001447193016126606
15,194871,263,0.001349610768149186
16,193407,311,0.0016080079831650353
17,193154,257,0.0013305445395901715
18,193321,255,0.0013190496635130172
19,192824,231,0.0011979836534871178
20,192809,134,0.000694988304487861
21,192192,154,0.0008012820512820513
22,191836,128,0.0006672365979273963
23,193345,150,0.0007758152525278647
