model,split,threshold,validation_f1,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
Dummy All-Legitimate,train,0.5,0.0,0.9686567551438727,0.0,0.0,0.0,0.5,0.03134324485612724,111999,0,3624,0
Dummy All-Legitimate,test,0.5,0.0,0.9686604512249264,0.0,0.0,0.0,0.5,0.03133954877507366,48001,0,1553,0
Dummy All-Legitimate,full,0.5,0.0,0.9686578639883276,0.0,0.0,0.0,0.5,0.03134213601167233,160000,0,5177,0
Logistic Regression,train,0.8723061974024744,0.4720861900097943,0.9511602362851682,0.3519683887018879,0.6636313465783664,0.45997896146122214,0.9183637189326056,0.32497075112861695,107571,4428,1219,2405
Logistic Regression,test,0.8723061974024744,0.4720861900097943,0.9507607862130202,0.34991539763113366,0.6658081133290406,0.4587400177462289,0.9145515628544603,0.33785149338411274,46080,1921,519,1034
Logistic Regression,full,0.8723061974024744,0.4720861900097943,0.95104039908704,0.3513485901103392,0.6642843345566931,0.45960574674239896,0.9172127740486768,0.32844386079603344,153651,6349,1738,3439
Decision Tree,train,0.906286819746796,0.47837370242214533,0.9475277410203852,0.34865568083261056,0.7764900662251656,0.48123129542539544,0.9334964361870386,0.4377692370803882,106742,5257,810,2814
Decision Tree,test,0.906286819746796,0.47837370242214533,0.9462606449529806,0.3397806004618938,0.7578879587894398,0.4692047040063783,0.906234708594891,0.4054155444041222,45714,2287,376,1177
Decision Tree,full,0.906286819746796,0.47837370242214533,0.9471476052961368,0.3459904638058084,0.7709097933165926,0.4776208712302537,0.9253172463540661,0.4275807548509875,152456,7544,1186,3991
Linear SVM,train,0.7149691013275997,0.4768339768339768,0.9508056355569393,0.3518093049971281,0.6760485651214128,0.4627880619569324,0.9183040787950901,0.31665309756469573,107485,4514,1174,2450
Linear SVM,test,0.7149691013275997,0.4768339768339768,0.9501150260322073,0.3476963871395426,0.6754668383773342,0.4590809628008753,0.9147593418483327,0.3270546282886401,46033,1968,504,1049
Linear SVM,full,0.7149691013275997,0.4768339768339768,0.9505984489365953,0.3505660755435327,0.675874058334943,0.4616704050666315,0.9172293280374735,0.3193720676348882,153518,6482,1678,3499
Random Forest + Graph Features,train,0.7746516847930689,0.628391167192429,0.9766741911211437,0.6012229744485695,0.7596578366445916,0.6712178471290992,0.9876412008034524,0.7918327383084358,110173,1826,871,2753
Random Forest + Graph Features,test,0.7746516847930689,0.628391167192429,0.9709811518747226,0.5292919001528273,0.6690276883451385,0.5910125142207053,0.9720606740954756,0.6807381565147715,47077,924,514,1039
Random Forest + Graph Features,full,0.7746516847930689,0.628391167192429,0.9749662483275516,0.579639254050749,0.7324705427853969,0.6471541940438604,0.9830896398734789,0.7590273386744203,157250,2750,1385,3792
Random Forest Base Features,train,0.8015742187548849,0.556836902800659,0.9662956332217638,0.47620707686944397,0.7538631346578366,0.5836983228287577,0.970522686490401,0.6529846008551319,108994,3005,892,2732
Random Forest Base Features,test,0.8015742187548849,0.556836902800659,0.9621019493885459,0.43315508021390375,0.6780424983902125,0.5286144578313253,0.9266964992532821,0.550175702218931,46623,1378,500,1053
Random Forest Base Features,full,0.8015742187548849,0.556836902800659,0.9650314511100214,0.46332802742745194,0.7309252462816302,0.5671462829736211,0.9574928059204173,0.6218433575550718,155617,4383,1393,3784
HistGradientBoosting Base Features,train,0.8984210063202859,0.5574746873138773,0.9689681118808542,0.5037894736842106,0.6603200883002207,0.5715309290661571,0.9532191810704238,0.5979763309725998,109642,2357,1231,2393
HistGradientBoosting Base Features,test,0.8984210063202859,0.5574746873138773,0.9666626306655366,0.47569955817378495,0.6239536381197682,0.53983286908078,0.9304073108157104,0.5556324909571677,46933,1068,584,969
HistGradientBoosting Base Features,full,0.8984210063202859,0.5574746873138773,0.9682764549543823,0.4953587741270075,0.649410855707939,0.562019391507857,0.9463808437560364,0.5851418028510923,156575,3425,1815,3362
HistGradientBoosting + Graph Features,train,0.9084676069107382,0.6519499632082413,0.9804796623509163,0.7115444134942742,0.6343818984547461,0.6707512764405543,0.9844370629334104,0.7707677138563601,111067,932,1325,2299
HistGradientBoosting + Graph Features,test,0.9084676069107382,0.6519499632082413,0.9780643338580135,0.6703216374269005,0.5904700579523503,0.6278671687778158,0.9761541040550065,0.7212469474182022,47550,451,636,917
HistGradientBoosting + Graph Features,full,0.9084676069107382,0.6519499632082413,0.9797550506426439,0.6992824527071102,0.6212091945141974,0.6579378068739771,0.9820059403370678,0.7558815124688194,158617,1383,1961,3216
