threshold,alert_rate,alerts,precision,recall,f1,tn,fp,fn,tp
0.821833632,0.09999713629821924,150151,0.007252698949723945,0.7012234385061172,0.014356905552918842,1350938,149062,464,1089
0.9084676069,0.0665624190421517,99947,0.008344422543948293,0.5370251126851255,0.016433497536945813,1400887,99113,719,834
0.9477612949,0.05000023309200541,75078,0.008964010762140706,0.433354797166774,0.017564693139852018,1425595,74405,880,673
0.95,0.04915311014662819,73806,0.009023656613283472,0.42884739214423695,0.01767539378176462,1426860,73140,887,666
0.98,0.03825039808784638,57435,0.008966657961173501,0.33161622665808116,0.01746117854478877,1443080,56920,1038,515
0.99,0.03260957155691474,48965,0.009292351679771264,0.29298132646490666,0.018013381369016986,1451490,48510,1098,455
0.991708977,0.019944017960072006,29947,0.011253214011420175,0.2169993560849968,0.021396825396825397,1470390,29610,1216,337
0.9922841689,0.010326641816838966,15506,0.01657422933058171,0.1654861558274308,0.030130722785626354,1484751,15249,1296,257
0.995,0.007626104439869922,11451,0.017902366605536634,0.1320025756600129,0.0315287603814211,1488754,11246,1348,205
0.9965245586,0.0050001565046322045,7508,0.016515716568993075,0.0798454603992273,0.02737004745613067,1492616,7384,1429,124
0.9974437888,0.003678857822534403,5524,0.019732078204199855,0.07018673535093367,0.030804012999858698,1494585,5415,1444,109
0.999,0.0,0,0.0,0.0,0.0,1500000,0,1553,0
